,Hastag,timestamp,positive,negative,medium
82,iranrevolution,2022-11-04,0.07272826,0.16607903,0.76119274
83,tehran,2022-11-05,0.07272826,0.16607903,0.76119274
84,qatar2022,2022-11-05,0.14723297,0.0904449233333333,0.76232209
85,worldcup,2022-11-05,0.07272826,0.16607903,0.76119274
86,wc2022,2022-11-05,0.07272826,0.16607903,0.76119274
87,méxico,2022-11-05,0.16716258,0.05011766,0.78271973
88,mahsaamini,2022-11-05,0.07272826,0.16607903,0.76119274
89,r2pforiran,2022-11-05,0.07272826,0.16607903,0.76119274
90,womenlifefreedom,2022-11-05,0.07272826,0.16607903,0.76119274
91,mahsa_amini,2022-11-05,0.07272826,0.16607903,0.76119274
92,worldcup2022,2022-11-05,0.07272826,0.16607903,0.76119274
93,fifaworldcup,2022-11-05,0.07272826,0.16607903,0.76119274
94,iran,2022-11-05,0.07272826,0.16607903,0.76119274
95,freeiran,2022-11-05,0.07272826,0.16607903,0.76119274
96,opiran,2022-11-05,0.07272826,0.16607903,0.76119274
97,iranprotests2022,2022-11-05,0.07272826,0.16607903,0.76119274
98,football,2022-11-05,0.20180807,0.05513808,0.7430538
99,iranrevolution2022,2022-11-05,0.07272826,0.16607903,0.76119274
100,freedom,2022-11-05,0.07272826,0.16607903,0.76119274
101,iranprotests,2022-11-05,0.07272826,0.16607903,0.76119274
102,irgc,2022-11-05,0.07272826,0.16607903,0.76119274
103,fifaworldcup2022,2022-11-05,0.07272826,0.16607903,0.76119274
104,mundialqatar2022,2022-11-05,0.16716258,0.05011766,0.78271973
105,worldcupqatar2022,2022-11-05,0.20180807,0.05513808,0.7430538
106,iranrevolution,2022-11-05,0.07272826,0.16607903,0.76119274
107,méxico,2022-11-06,0.16716258,0.05011766,0.78271973
108,qatar2022,2022-11-06,0.10617888,0.08680329,0.807017815
109,mundialqatar2022,2022-11-06,0.16716258,0.05011766,0.78271973
110,iranprotests2022,2022-11-07,0.07272826,0.16607903,0.76119274
111,iranrevolution2022,2022-11-07,0.07272826,0.16607903,0.76119274
112,freedom,2022-11-07,0.07272826,0.16607903,0.76119274
113,womenlifefreedom,2022-11-07,0.07272826,0.16607903,0.76119274
114,qatar2022,2022-11-07,0.07554814,0.10737108,0.8170807950000001
115,freeiran,2022-11-07,0.07272826,0.16607903,0.76119274
116,mahsa_amini,2022-11-07,0.07272826,0.16607903,0.76119274
117,worldcup2022,2022-11-07,0.07272826,0.16607903,0.76119274
118,wc2022,2022-11-07,0.07272826,0.16607903,0.76119274
119,tehran,2022-11-07,0.07272826,0.16607903,0.76119274
120,r2pforiran,2022-11-07,0.07272826,0.16607903,0.76119274
121,fifaworldcup,2022-11-07,0.07272826,0.16607903,0.76119274
122,fifaworldcup2022,2022-11-07,0.07272826,0.16607903,0.76119274
123,irgc,2022-11-07,0.07272826,0.16607903,0.76119274
124,mahsaamini,2022-11-07,0.07272826,0.16607903,0.76119274
125,iranrevolution,2022-11-07,0.07272826,0.16607903,0.76119274
126,opiran,2022-11-07,0.07272826,0.16607903,0.76119274
127,iran,2022-11-07,0.07272826,0.16607903,0.76119274
128,worldcup,2022-11-07,0.07272826,0.16607903,0.76119274
129,iranprotests,2022-11-07,0.07272826,0.16607903,0.76119274
130,fifaworldcup2022,2022-11-08,0.07272826,0.16607903,0.76119274
131,iranprotests,2022-11-08,0.07272826,0.16607903,0.76119274
132,freedom,2022-11-08,0.07272826,0.16607903,0.76119274
133,fifaworldcup,2022-11-08,0.07272826,0.16607903,0.76119274
134,mahsaamini,2022-11-08,0.07272826,0.16607903,0.76119274
135,irgc,2022-11-08,0.07272826,0.16607903,0.76119274
136,iranrevolution2022,2022-11-08,0.07272826,0.16607903,0.76119274
137,iranrevolution,2022-11-08,0.07272826,0.16607903,0.76119274
138,worldcup,2022-11-08,0.07272826,0.16607903,0.76119274
139,tehran,2022-11-08,0.07272826,0.16607903,0.76119274
140,iran,2022-11-08,0.07272826,0.16607903,0.76119274
141,wc2022,2022-11-08,0.07272826,0.16607903,0.76119274
142,womenlifefreedom,2022-11-08,0.07272826,0.16607903,0.76119274
143,mahsa_amini,2022-11-08,0.07272826,0.16607903,0.76119274
144,opiran,2022-11-08,0.07272826,0.16607903,0.76119274
145,iranprotests2022,2022-11-08,0.07272826,0.16607903,0.76119274
146,qatar2022,2022-11-08,0.07272826,0.16607903,0.76119274
147,r2pforiran,2022-11-08,0.07272826,0.16607903,0.76119274
148,worldcup2022,2022-11-08,0.07272826,0.16607903,0.76119274
149,freeiran,2022-11-08,0.07272826,0.16607903,0.76119274
150,iran,2022-11-09,0.07272826,0.16607903,0.76119274
151,iranrevolution2022,2022-11-09,0.07272826,0.16607903,0.76119274
152,worldcup2022,2022-11-09,0.07272826,0.16607903,0.76119274
153,iranprotests2022,2022-11-09,0.07272826,0.16607903,0.76119274
154,opiran,2022-11-09,0.07272826,0.16607903,0.76119274
155,iranrevolution,2022-11-09,0.07272826,0.16607903,0.76119274
156,tehran,2022-11-09,0.07272826,0.16607903,0.76119274
157,fifaworldcup,2022-11-09,0.07272826,0.16607903,0.76119274
158,iranprotests,2022-11-09,0.07272826,0.16607903,0.76119274
159,qatar2022,2022-11-09,0.07272826,0.16607903,0.76119274
160,irgc,2022-11-09,0.07272826,0.16607903,0.76119274
161,worldcup,2022-11-09,0.07272826,0.16607903,0.76119274
162,freedom,2022-11-09,0.07272826,0.16607903,0.76119274
163,womenlifefreedom,2022-11-09,0.07272826,0.16607903,0.76119274
164,fifaworldcup2022,2022-11-09,0.07272826,0.16607903,0.76119274
165,wc2022,2022-11-09,0.07272826,0.16607903,0.76119274
166,mahsaamini,2022-11-09,0.07272826,0.16607903,0.76119274
167,freeiran,2022-11-09,0.07272826,0.16607903,0.76119274
168,r2pforiran,2022-11-09,0.07272826,0.16607903,0.76119274
169,mahsa_amini,2022-11-09,0.07272826,0.16607903,0.76119274
170,r2pforiran,2022-11-10,0.07272826,0.16607903,0.76119274
171,iranrevolution2022,2022-11-10,0.07272826,0.16607903,0.76119274
172,mahsa_amini,2022-11-10,0.07272826,0.16607903,0.76119274
173,qatarworldcup2022,2022-11-10,0.00931785,0.7380589,0.25262317
174,iranprotests2022,2022-11-10,0.07272826,0.16607903,0.76119274
175,iranrevolution,2022-11-10,0.07272826,0.16607903,0.76119274
176,fifaworldcup,2022-11-10,0.07272826,0.16607903,0.76119274
177,mahsaamini,2022-11-10,0.0515914566666666,0.3567389866666666,0.5916695500000001
178,tehran,2022-11-10,0.07272826,0.16607903,0.76119274
179,saytheirnames,2022-11-10,0.00836458,0.7559203,0.235715085
180,womenlifefreedom,2022-11-10,0.07272826,0.16607903,0.76119274
181,qatar2022,2022-11-10,0.05137584,0.1996713415384615,0.7489528315384616
182,iran,2022-11-10,0.07272826,0.16607903,0.76119274
183,fifaworldcup2022,2022-11-10,0.07272826,0.16607903,0.76119274
184,irgc,2022-11-10,0.07272826,0.16607903,0.76119274
185,wc2022,2022-11-10,0.07272826,0.16607903,0.76119274
186,worldcup,2022-11-10,0.07272826,0.16607903,0.76119274
187,worldcup2022,2022-11-10,0.07272826,0.16607903,0.76119274
188,freedom,2022-11-10,0.07272826,0.16607903,0.76119274
189,opiran,2022-11-10,0.07272826,0.16607903,0.76119274
190,freeiran,2022-11-10,0.07272826,0.16607903,0.76119274
191,mehransamak,2022-11-10,0.00836458,0.7559203,0.235715085
192,iranprotests,2022-11-10,0.07272826,0.16607903,0.76119274
193,usa,2022-11-10,0.00931785,0.7380589,0.25262317
194,qatar2022,2022-11-11,0.0843670885714285,0.1046497685714285,0.8109831471428571
195,mahsa_amini,2022-11-11,0.07272826,0.16607903,0.7611927399999999
196,r2pforiran,2022-11-11,0.07272826,0.16607903,0.7611927399999999
197,fifaworldcup2022,2022-11-11,0.07272826,0.16607903,0.7611927399999999
198,freeiran,2022-11-11,0.07272826,0.16607903,0.7611927399999999
199,iranrevolution,2022-11-11,0.07272826,0.16607903,0.7611927399999999
200,iranprotests2022,2022-11-11,0.07272826,0.16607903,0.7611927399999999
201,iran,2022-11-11,0.07272826,0.16607903,0.7611927399999999
202,tehran,2022-11-11,0.07272826,0.16607903,0.7611927399999999
203,opiran,2022-11-11,0.07272826,0.16607903,0.7611927399999999
204,wc2022,2022-11-11,0.07272826,0.16607903,0.7611927399999999
205,worldcup2022,2022-11-11,0.07272826,0.16607903,0.7611927399999999
206,fifaworldcup,2022-11-11,0.06951679,0.149304255,0.7811789675
207,iranprotests,2022-11-11,0.07272826,0.16607903,0.7611927399999999
208,irgc,2022-11-11,0.07272826,0.16607903,0.7611927399999999
209,freedom,2022-11-11,0.07272826,0.16607903,0.7611927399999999
210,iranrevolution2022,2022-11-11,0.07272826,0.16607903,0.7611927399999999
211,qatarworldcup2022,2022-11-11,0.1137835949999999,0.027748625,0.85846775
212,worldcup,2022-11-11,0.07272826,0.16607903,0.7611927399999999
213,womenlifefreedom,2022-11-11,0.07272826,0.16607903,0.7611927399999999
214,mahsaamini,2022-11-11,0.07272826,0.16607903,0.7611927399999999
215,saytheirnames,2022-11-12,0.00402975,0.8729838,0.12298653
216,opiran,2022-11-12,0.07272826,0.16607903,0.76119274
217,iranprotests,2022-11-12,0.07272826,0.16607903,0.76119274
218,tehran,2022-11-12,0.07272826,0.16607903,0.76119274
219,iran,2022-11-12,0.07272826,0.16607903,0.76119274
220,mahsaamini,2022-11-12,0.07162750625,0.1591252349999999,0.7692472725
221,iranrevolution2022,2022-11-12,0.07272826,0.16607903,0.76119274
222,wc2022,2022-11-12,0.07272826,0.16607903,0.76119274
223,iranprotests2022,2022-11-12,0.07272826,0.16607903,0.76119274
224,worldcup2022,2022-11-12,0.07162750625,0.1591252349999999,0.7692472725
225,fifaworldcup,2022-11-12,0.07272826,0.16607903,0.76119274
226,womenlifefreedom,2022-11-12,0.07272826,0.16607903,0.76119274
227,fifaworldcup2022,2022-11-12,0.07272826,0.16607903,0.76119274
228,r2pforiran,2022-11-12,0.07272826,0.16607903,0.76119274
229,worldcup,2022-11-12,0.07272826,0.16607903,0.76119274
230,freedom,2022-11-12,0.07272826,0.16607903,0.76119274
231,qatar2022,2022-11-12,0.0641166444444444,0.2384428533333333,0.6974405233333334
232,mahsa_amini,2022-11-12,0.07272826,0.16607903,0.76119274
233,iranrevolution,2022-11-12,0.07272826,0.16607903,0.76119274
234,qatarworldcup2022,2022-11-12,0.06392223,0.11044867,0.825629
235,irgc,2022-11-12,0.07272826,0.16607903,0.76119274
236,freeiran,2022-11-12,0.07272826,0.16607903,0.76119274
237,wc2022,2022-11-13,0.07272826,0.16607903,0.76119274
238,iranprotests,2022-11-13,0.07272826,0.16607903,0.76119274
239,iranprotests2022,2022-11-13,0.07272826,0.16607903,0.76119274
240,fifaworldcup2022,2022-11-13,0.07272826,0.16607903,0.76119274
241,qatarworldcup2022,2022-11-13,0.10211585,0.06529483,0.8325893
242,iran,2022-11-13,0.07272826,0.16607903,0.76119274
243,fifaworldcup,2022-11-13,0.105978012,0.1289630439999999,0.7650589560000001
244,worldcup,2022-11-13,0.07272826,0.16607903,0.76119274
245,iranrevolution2022,2022-11-13,0.07272826,0.16607903,0.76119274
246,womenlifefreedom,2022-11-13,0.07272826,0.16607903,0.76119274
247,irgc,2022-11-13,0.07272826,0.16607903,0.76119274
248,qatar2022,2022-11-13,0.41817062625,0.07714919125,0.5046801875
249,freeiran,2022-11-13,0.07272826,0.16607903,0.76119274
250,mahsaamini,2022-11-13,0.07272826,0.16607903,0.76119274
251,iranrevolution,2022-11-13,0.07272826,0.16607903,0.76119274
252,opiran,2022-11-13,0.07272826,0.16607903,0.76119274
253,tehran,2022-11-13,0.07272826,0.16607903,0.76119274
254,worldcup2022,2022-11-13,0.0712239866666666,0.1314992499999999,0.7972767933333333
255,mahsa_amini,2022-11-13,0.07272826,0.16607903,0.76119274
256,r2pforiran,2022-11-13,0.07272826,0.16607903,0.76119274
257,freedom,2022-11-13,0.07272826,0.16607903,0.76119274
258,qatar2022,2022-11-14,0.09282929,0.086636281,0.8205344130000001
259,iran,2022-11-14,0.07272826,0.16607903,0.76119274
260,worldcup,2022-11-14,0.07272826,0.16607903,0.76119274
261,freedom,2022-11-14,0.07272826,0.16607903,0.76119274
262,fifaworldcup2022,2022-11-14,0.07272826,0.16607903,0.76119274
263,freeiran,2022-11-14,0.07272826,0.16607903,0.76119274
264,worldcup2022,2022-11-14,0.07272826,0.16607903,0.76119274
265,wc2022,2022-11-14,0.07272826,0.16607903,0.76119274
266,opiran,2022-11-14,0.07272826,0.16607903,0.76119274
267,irgc,2022-11-14,0.07272826,0.16607903,0.76119274
268,iranrevoiution,2022-11-14,0.02805176,0.26094841,0.710999835
269,iranprotests2022,2022-11-14,0.07272826,0.16607903,0.76119274
270,tehran,2022-11-14,0.07272826,0.16607903,0.76119274
271,mahsa_amini,2022-11-14,0.07272826,0.16607903,0.76119274
272,r2pforiran,2022-11-14,0.07272826,0.16607903,0.76119274
273,iranrevolution,2022-11-14,0.115260275,0.264531445,0.620208305
274,womenlifefreedom,2022-11-14,0.07272826,0.16607903,0.76119274
275,fifaworldcup,2022-11-14,0.07272826,0.16607903,0.76119274
276,mahsaamini,2022-11-14,0.07272826,0.16607903,0.76119274
277,qatar,2022-11-14,0.15377171,0.09970117,0.7465272
278,iranprotests,2022-11-14,0.07272826,0.16607903,0.76119274
279,iranrevolution2022,2022-11-14,0.07272826,0.16607903,0.76119274
280,qatarworldcup2022,2022-11-14,0.1429533866666666,0.0711334466666666,0.7859131833333333
